,Unnamed: 0,smiles,name,inspiration_1,inspiration_2,REJECT,ORDER,SOLVENT,TRIM,CLASH,ACTION,BB1_name,BB2_name,BB1_smiles,BB2_smiles,reaction_type,NOTES,syndirella_name,fragmenstein_data
84,84,C[C@@H](C#N)C(=O)Nc1cc(C2CCC2)nn1C,BBS_AMU_055B,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,FALSE,TRUE,FALSE,TRIM,EN300-72730,EN300-109371,CC(C#N)C(=O)O,Cn1nc(C2CCC2)cc1N,Amidation,,steph-fragnetv2-Z1688566804-1-of-1-step-00013,"[{'Energy': {'bound': {'total_score': 484.88477078249855, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 497.4755330333965, 'unit': 'kcal/mol'}, 'apo': {'total_score': 462.54665900767367, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 34.92887402572284, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 22.338111774824952, 'unit': 'kcal/mol'}}, 'mRMSD': 1.0410872855693298, 'RMSDs': [0.5449180568056672, 1.2288566530497844]}, {'Energy': {'bound': {'total_score': 498.31296047283524, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 506.78816559829687, 'unit': 'kcal/mol'}, 'apo': {'total_score': 474.7269982445958, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 32.061167353701066, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 23.585962228240174, 'unit': 'kcal/mol'}}, 'mRMSD': 1.0285487074765727, 'RMSDs': [0.5014591823829202, 1.2319844406191955]}]"
85,85,CCC[C@@H](C#N)C(=O)Nc1cn(CC(=O)OC(C)(C)C)nc1C(F)F,BBS_AMU_056A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,TRUE,TRUE,FALSE,FALSE,ORDER,EN300-148497,EN300-45200223,CCCC(C#N)C(=O)O,CC(C)(C)OC(=O)Cn1cc(N)c(C(F)F)n1,Amidation,,steph-fragnetv2-Z3585809468-1-of-1-step-02605,"[{'Energy': {'bound': {'total_score': 501.83994326054216, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 519.5904264812198, 'unit': 'kcal/mol'}, 'apo': {'total_score': 445.95203928344654, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 73.63838719777326, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 55.88790397709528, 'unit': 'kcal/mol'}}, 'mRMSD': 0.5720096605679054, 'RMSDs': [0.38902295309613616, 0.6313813345525882]}]"
86,86,COC(=O)c1c(OCCO)nn(C)c1NC(=O)[C@H](N)[C@](C)(O)C(F)(F)F,BBS_AMU_057A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,TRUE,FALSE,FALSE,FALSE,FALSE,REJECT,EN300-317520,EN300-262764,CC(O)(C(N)C(=O)O)C(F)(F)F,COC(=O)c1c(OCCO)nn(C)c1N,Amidation,,steph-fragnetv2-Z2852444229-1-of-1-step-02937,"[{'Energy': {'bound': {'total_score': 625.4727621818157, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 649.390953055202, 'unit': 'kcal/mol'}, 'apo': {'total_score': 583.2246105077948, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 66.1663425474072, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 42.24815167402032, 'unit': 'kcal/mol'}}, 'mRMSD': 1.4684468285620256, 'RMSDs': [2.049113531895253, 1.3018697642488208]}]"
87,87,COC(=O)c1c(OCCO)nn(C)c1NC(=O)[C@@H](N)[C@](C)(O)C(F)(F)F,BBS_AMU_057B,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,TRUE,TRUE,FALSE,FALSE,ORDER,EN300-317520,EN300-262764,CC(O)(C(N)C(=O)O)C(F)(F)F,COC(=O)c1c(OCCO)nn(C)c1N,Amidation,,steph-fragnetv2-Z2852444229-1-of-1-step-02937,"[{'Energy': {'bound': {'total_score': 625.4727621818157, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 649.390953055202, 'unit': 'kcal/mol'}, 'apo': {'total_score': 583.2246105077948, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 66.1663425474072, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 42.24815167402032, 'unit': 'kcal/mol'}}, 'mRMSD': 1.4684468285620256, 'RMSDs': [2.049113531895253, 1.3018697642488208]}]"
88,88,COC(=O)c1c(OCCO)nn(C)c1NC(=O)[C@@H](N)[C@@](C)(O)C(F)(F)F,BBS_AMU_057D,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,TRUE,TRUE,FALSE,FALSE,ORDER,EN300-317520,EN300-262764,CC(O)(C(N)C(=O)O)C(F)(F)F,COC(=O)c1c(OCCO)nn(C)c1N,Amidation,,steph-fragnetv2-Z2852444229-1-of-1-step-02937,"[{'Energy': {'bound': {'total_score': 625.4727621818157, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 649.390953055202, 'unit': 'kcal/mol'}, 'apo': {'total_score': 583.2246105077948, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 66.1663425474072, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 42.24815167402032, 'unit': 'kcal/mol'}}, 'mRMSD': 1.4684468285620256, 'RMSDs': [2.049113531895253, 1.3018697642488208]}]"
89,89,CCCc1cc(NC(=O)[C@@](C)(O)C(F)(F)F)n(C)n1,BBS_AMU_058A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-2008851,EN300-125298,CC(O)(C(=O)O)C(F)(F)F,CCCc1cc(N)n(C)n1,Amidation,Trim solvent space,steph-fragnetv2-Z1217419270-1-of-1-step-00065,"[{'Energy': {'bound': {'total_score': 520.5325635523142, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 542.2315249564768, 'unit': 'kcal/mol'}, 'apo': {'total_score': 482.60969112517387, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 59.62183383130301, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 37.92287242714068, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4068489390895629, 'RMSDs': [0.3505054657093506, 0.37680452636642453]}]"
90,90,C[C@H](C(=O)Nc1cc(N)ncc1C#N)C(C)(C)C,BBS_AMU_059A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,FALSE,FALSE,TRUE,FALSE,TRIM,EN300-370674,EN300-2983314,CC(C(=O)Cl)C(C)(C)C,N#Cc1cnc(N)cc1N,Amide_Schotten-Baumann_with_amine,Selectivity issues abound - two NH2 groups,steph-fragnetv2-113738-B1X-1-of-1-step-01298,"[{'Energy': {'bound': {'total_score': 543.2736765039227, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 549.0703199026035, 'unit': 'kcal/mol'}, 'apo': {'total_score': 525.2153544300043, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 23.854965472599247, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 18.05832207391847, 'unit': 'kcal/mol'}}, 'mRMSD': 0.5024758378257742, 'RMSDs': [0.4762597297350291, 0.5422990186524826]}]"
91,91,CCn1nc(C(C)(C)C)cc1NC(=O)[C@H](CP(C)(C)=O)C(F)(F)F,BBS_AMU_060A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-37468065,EN300-127225,CP(C)(=O)CC(C(=O)O)C(F)(F)F,CCn1nc(C(C)(C)C)cc1N,Amidation,"Also quite bulky, worth thinking on",steph-fragnetv2-Z1217419270-1-of-1-step-02854,"[{'Energy': {'bound': {'total_score': 517.5475890477377, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 531.0877407898925, 'unit': 'kcal/mol'}, 'apo': {'total_score': 520.2757471261543, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 10.811993663738168, 'unit': 'kcal/mol'}, 'insitu': {'total_score': -2.7281580784173514, 'unit': 'kcal/mol'}}, 'mRMSD': 0.6717584260114408, 'RMSDs': [0.5961571660825976, 0.5575668055525708]}, {'Energy': {'bound': {'total_score': 380.9715494162592, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 401.20461576809424, 'unit': 'kcal/mol'}, 'apo': {'total_score': 393.18256276658315, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 8.022053001511079, 'unit': 'kcal/mol'}, 'insitu': {'total_score': -12.211013350323494, 'unit': 'kcal/mol'}}, 'mRMSD': 0.6519716757063144, 'RMSDs': [0.555261558195127, 0.5750609493313938]}]"
92,92,CCn1nc(C(C)(C)C)cc1NC(=O)[C@@H](CP(C)(C)=O)C(F)(F)F,BBS_AMU_060B,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-37468065,EN300-127225,CP(C)(=O)CC(C(=O)O)C(F)(F)F,CCn1nc(C(C)(C)C)cc1N,Amidation,Heavy strain from the O in the PMe3O section. Also near trifluoro,steph-fragnetv2-Z1217419270-1-of-1-step-02854,"[{'Energy': {'bound': {'total_score': 517.5475890477377, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 531.0877407898925, 'unit': 'kcal/mol'}, 'apo': {'total_score': 520.2757471261543, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 10.811993663738168, 'unit': 'kcal/mol'}, 'insitu': {'total_score': -2.7281580784173514, 'unit': 'kcal/mol'}}, 'mRMSD': 0.6717584260114408, 'RMSDs': [0.5961571660825976, 0.5575668055525708]}, {'Energy': {'bound': {'total_score': 380.9715494162592, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 401.20461576809424, 'unit': 'kcal/mol'}, 'apo': {'total_score': 393.18256276658315, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 8.022053001511079, 'unit': 'kcal/mol'}, 'insitu': {'total_score': -12.211013350323494, 'unit': 'kcal/mol'}}, 'mRMSD': 0.6519716757063144, 'RMSDs': [0.555261558195127, 0.5750609493313938]}]"
93,93,CCC[C@@H](C#N)C(=O)Nc1cn(C)nc1C(F)(F)F,BBS_AMU_061A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,FALSE,TRUE,FALSE,TRIM,EN300-148497,EN300-115582,CCCC(C#N)C(=O)O,Cn1cc(N)c(C(F)(F)F)n1,Amidation,Trifluoro group might cause a steric issue in this position,steph-fragnetv2-Z3585809468-1-of-1-step-00124,"[{'Energy': {'bound': {'total_score': 465.90471484236605, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 492.60231653390184, 'unit': 'kcal/mol'}, 'apo': {'total_score': 394.7429988633688, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 97.85931767053302, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 71.16171597899832, 'unit': 'kcal/mol'}}, 'mRMSD': 0.40025403924437153, 'RMSDs': [0.40025403924437153, 0.43659398113063025]}]"
