1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,3_r1_smiles,3_reaction,4_r1_smiles,4_r2_smiles,4_reaction,compound_set,date,error_message,error_type,hit1,hit2,inchi_key,input_num,num_placed,num_successful,route_uuid,smiles,template,time,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit1_short,hit2_short,placed,datetime,num_steps
,,,,,,,,,,,cx0300a-cx0892a,2024-09-04,Scaffold could not be successfully placed.,ScaffoldPlacementError,CHIKV_MacB-x0892_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0300_A_401_CHIKV_MacB-x0300+A+401+1,AHQYDSUDIYYGCL-CWTRNNRKSA-N,189.0,,,,Cn1nccc1C(=O)c1cscc1[C@](O)(N[C@@H]1CCC(=O)NC1)c1cccs1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,920.0,,,,cx0892a,cx0300a,False,2024-09-04 09:20:00,0.0
,,,,,,,,,,,cx0935a-cx0839a,2024-09-04,No routes found for CN[C@H]1CNC[C@]2(C[C@H](O)CC[C@@H]2NC(=O)COC)N1.,NoSynthesisRoute,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0839_A_401_CHIKV_MacB-x0300+A+401+1,OSUSJAPCJQBCSN-XZUYRWCXSA-N,319.0,,,,CN[C@H]1CNC[C@]2(C[C@H](O)CC[C@@H]2NC(=O)COC)N1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1025.0,,,,cx0935a,cx0839a,False,2024-09-04 10:25:00,0.0
,,,,,,,,,,,cx0692a-cx1213a,2024-09-04,No attachment points found for reaction N-Boc_deprotection,ReactionError,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1213_A_401_CHIKV_MacB-x0300+A+401+1,GNBHRAZXCYIDFU-YPMHNXCESA-N,286.0,,,,COCC(=O)N[C@@H]1CCCC[C@@]12CCCNC2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1009.0,,,,cx0692a,cx1213a,False,2024-09-04 10:09:00,0.0
,,,,,,,,,,,cx0522a-cx0294a,2024-09-03,No routes found for C[C@]1(F)CN(CCN)C[C@H](CCCNN)C1=O.,NoSynthesisRoute,CHIKV_MacB-x0522_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0294_A_401_CHIKV_MacB-x0300+A+401+1,NYMFCWGXQSAFPA-ONGXEEELSA-N,52.0,,,,C[C@]1(F)CN(CCN)C[C@H](CCCNN)C1=O,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1751.0,,,,cx0522a,cx0294a,False,2024-09-03 17:51:00,0.0
,,,,,,,,,,,cx0721a-cx0289a,2024-09-04,No routes found for CN(C)[C@@]1(O)C[S@]1(C)CC[C@@H]1C=C(NCS)[C@@]1(O)Nc1ccccn1.,NoSynthesisRoute,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0721_B_401_CHIKV_MacB-x0300+A+401+1,BVAGKZUXIOMZIK-KBRIMQKVSA-N,292.0,,,,CN(C)[C@@]1(O)C[S@]1(C)CC[C@@H]1C=C(NCS)[C@@]1(O)Nc1ccccn1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1011.0,,,,cx0289a,cx0721a,False,2024-09-04 10:11:00,0.0
Nc1ccc(O)cc1,Cc1c[nH]c2cccc(C(=O)O)c12,Amidation,,,,,,,,,cx0935a-cx1271d,2024-09-04,,,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1271_C_402_CHIKV_MacB-x0300+A+401+1,WZOLBARQWWYVFM-UHFFFAOYSA-N,330.0,2033.0,900.0,5igvAs,Cc1c[nH]c2cccc(C(=O)Nc3ccc(O)cc3)c12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1155.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/WZOLBARQWWYVFM-UHFFFAOYSA-N/WZOLBARQWWYVFM-UHFFFAOYSA-N_5igvAs_to_hippo.pkl.gz,2140.0,1819.0,cx0935a,cx1271d,True,2024-09-04 11:55:00,1.0
,,,,,,,,,,,cx1338a-cx1278a,2024-09-03,No attachment points found for reaction N-Bn_deprotection,ReactionError,CHIKV_MacB-x1338_B_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1278_D_401_CHIKV_MacB-x0300+A+401+1,UOLQJDYEMFOZBJ-UHFFFAOYSA-N,38.0,,,,COC(=O)c1cc(N)nc2ccccc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1744.0,,,,cx1338a,cx1278a,False,2024-09-03 17:44:00,0.0
Nc1cccc(N)n1,Nc1ccc(S(=O)(=O)F)cc1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,,,,,,cx0289a-cx1353b,2024-09-04,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1353_D_401_CHIKV_MacB-x0300+A+401+1,OEJIOENYRJJYTB-UHFFFAOYSA-N,255.0,,,nwADU4,Nc1ccc(S(=O)(=O)Nc2cccc(N)n2)cc1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1000.0,,,,cx0289a,cx1353b,False,2024-09-04 10:00:00,1.0
,,,,,,,,,,,cx0935a-cx0969a,2024-09-04,No routes found for COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCC[C@H](CO)C2.,NoSynthesisRoute,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_A_304_CHIKV_MacB-x0300+A+401+1,YHLFAQOJWOGOLI-SFDCQRBFSA-N,322.0,,,,COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CCC[C@H](CO)C2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1027.0,,,,cx0935a,cx0969a,False,2024-09-04 10:27:00,0.0
,,,,,,,,,,,cx0289a-cx0864d,2024-09-04,No routes found for Nc1ccc(S(=O)(=O)Nc2ccc3cc(-c4ccn[nH]4)c[nH]c2-3)cc1.,NoSynthesisRoute,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0864_C_401_CHIKV_MacB-x0300+A+401+1,OYIAPMLQDFWTKP-UHFFFAOYSA-N,252.0,,,,Nc1ccc(S(=O)(=O)Nc2ccc3cc(-c4ccn[nH]4)c[nH]c2-3)cc1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,951.0,,,,cx0289a,cx0864d,False,2024-09-04 09:51:00,0.0
