1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,3_r1_smiles,3_reaction,4_r1_smiles,4_r2_smiles,4_reaction,compound_set,date,error_message,error_type,hit1,hit2,inchi_key,input_num,num_placed,num_successful,route_uuid,smiles,template,time,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit1_short,hit2_short,placed,datetime,num_steps
,,,,,,,,,,,cx1372a-cx0756a,2024-09-03,No routes found for Nc1cc2c[nH]nc2c2ccnc(O)c12.,NoSynthesisRoute,CHIKV_MacB-x1372_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0756_A_304_CHIKV_MacB-x0300+A+401+1,PDJAWWUFDCOFLK-UHFFFAOYSA-N,25.0,,,,Nc1cc2c[nH]nc2c2ccnc(O)c12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1738.0,,,,cx1372a,cx0756a,False,2024-09-03 17:38:00,0.0
,,,,,,,,,,,cx1194a-cx1417a,2024-09-04,No routes found for CCc1cc(C)c2c(n1)C(C)=NC2=O.,NoSynthesisRoute,CHIKV_MacB-x1194_A_305_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1417_A_304_CHIKV_MacB-x0300+A+401+1,DIRVEKCZPJVULX-UHFFFAOYSA-N,124.0,,,,CCc1cc(C)c2c(n1)C(C)=NC2=O,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,847.0,,,,cx1194a,cx1417a,False,2024-09-04 08:47:00,0.0
,,,,,,,,,,,cx0441a-cx0543a,2024-09-04,No routes found for NC(=O)c1ccc2c(c1)N[C@H]1CC=C[C@@H]1C2=O.,NoSynthesisRoute,CHIKV_MacB-x0543_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0441_D_401_CHIKV_MacB-x0300+A+401+1,IHQIPDSFIYHILS-WPRPVWTQSA-N,173.0,,,,NC(=O)c1ccc2c(c1)N[C@H]1CC=C[C@@H]1C2=O,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,912.0,,,,cx0543a,cx0441a,False,2024-09-04 09:12:00,0.0
,,,,,,,,,,,cx0632a-cx1131a,2024-09-03,No routes found for CN[C@@]1(c2cnn(-c3ccccc3)c2)CNC(=O)CN1.,NoSynthesisRoute,CHIKV_MacB-x0632_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1131_A_401_CHIKV_MacB-x0300+A+401+1,WXVGLKDVPKLHKY-AWEZNQCLSA-N,91.0,,,,CN[C@@]1(c2cnn(-c3ccccc3)c2)CNC(=O)CN1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1811.0,,,,cx0632a,cx1131a,False,2024-09-03 18:11:00,0.0
,,,,,,,,,,,cx0935a-cx0969b,2024-09-04,No routes found for OCc1cc2c(cc1CNc1ccc(O)cc1)OCC2.,NoSynthesisRoute,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_A_401_CHIKV_MacB-x0300+A+401+1,UFKPYVZWYQIMHJ-UHFFFAOYSA-N,323.0,,,,OCc1cc2c(cc1CNc1ccc(O)cc1)OCC2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1027.0,,,,cx0935a,cx0969b,False,2024-09-04 10:27:00,0.0
,,,,,,,,,,,cx1454a-cx1203a,2024-09-04,No attachment points found for reaction N-Bn_deprotection,ReactionError,CHIKV_MacB-x1203_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1454_A_401_CHIKV_MacB-x0300+A+401+1,NCZOVCDTUUZEEA-UHFFFAOYSA-N,215.0,,,,Cc1cc2ccccc2nc1N,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,933.0,,,,cx1203a,cx1454a,False,2024-09-04 09:33:00,0.0
,,,,,,,,,,,cx0441a-cx0760a,2024-09-04,No routes found for NC(=O)C1=CC2=C[C@H]3CC=C[C@@H]3NN2C=C1.,NoSynthesisRoute,CHIKV_MacB-x0760_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0441_D_401_CHIKV_MacB-x0300+A+401+1,ICJREYJAEFVKGV-KCJUWKMLSA-N,172.0,,,,NC(=O)C1=CC2=C[C@H]3CC=C[C@@H]3NN2C=C1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,911.0,,,,cx0760a,cx0441a,False,2024-09-04 09:11:00,0.0
,,,,,,,,,,,cx0477a-cx0300a,2024-09-04,No routes found for NC(=O)c1cnn(CC(O)(O)N[C@@H]2CCC(=O)NC2)c1.,NoSynthesisRoute,CHIKV_MacB-x0477_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0300_A_401_CHIKV_MacB-x0300+A+401+1,PLEPWHFYPQNIMI-MRVPVSSYSA-N,153.0,,,,NC(=O)c1cnn(CC(O)(O)N[C@@H]2CCC(=O)NC2)c1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,902.0,,,,cx0477a,cx0300a,False,2024-09-04 09:02:00,0.0
,,,,,,,,,,,cx0353a-cx0289a,2024-09-04,No routes found for C[N@+]([O-])(Nc1ccccn1)c1nccc2ccc(N)cc12.,NoSynthesisRoute,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0353_A_304_CHIKV_MacB-x0300+A+401+1,GAWNBWKCEBKKAU-HXUWFJFHSA-N,266.0,,,,C[N@+]([O-])(Nc1ccccn1)c1nccc2ccc(N)cc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,958.0,,,,cx0289a,cx0353a,False,2024-09-04 09:58:00,0.0
O=c1cccc[nH]1,ClCc1noc(Br)n1,Nucleophilic_substitution_with_amine,O=c1ccccn1Cc1noc(Br)n1,CNc1nccc2ccccc12,N-nucleophilic_aromatic_substitution,,,,,,cx0353a-cx0316a,2024-09-04,,,CHIKV_MacB-x0353_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,OYAFCPFGSBONSE-UHFFFAOYSA-N,140.0,1950.0,961.0,Bpx294,CN(c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1049.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/OYAFCPFGSBONSE-UHFFFAOYSA-N/OYAFCPFGSBONSE-UHFFFAOYSA-N_Bpx294_to_hippo.pkl.gz,3536.0,3224.0,cx0353a,cx0316a,True,2024-09-04 10:49:00,2.0
Nc1ccc2c(C(=O)O)cccc2c1,CN,Amidation,,,,,,,,,cx1260a-cx0270a,2024-09-04,,,CHIKV_MacB-x1260_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0270_A_304_CHIKV_MacB-x0300+A+401+1,TUFPTLPAEQNWJN-UHFFFAOYSA-N,306.0,689.0,0.0,QH5ek7,CNC(=O)c1cccc2cc(N)ccc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1021.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/TUFPTLPAEQNWJN-UHFFFAOYSA-N/TUFPTLPAEQNWJN-UHFFFAOYSA-N_QH5ek7_to_hippo.pkl.gz,1378.0,1036.0,cx1260a,cx0270a,True,2024-09-04 10:21:00,1.0
,,,,,,,,,,,cx0935a-cx0756a,2024-09-04,No routes found for COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNCC[C@H]2c1n[nH]cc1C.,NoSynthesisRoute,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0756_A_304_CHIKV_MacB-x0300+A+401+1,HJVNYADATJAOPV-XJIUQZFPSA-N,318.0,,,,COCC(=O)N[C@H]1CC[C@@H](O)C[C@]12CNCC[C@H]2c1n[nH]cc1C,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1025.0,,,,cx0935a,cx0756a,False,2024-09-04 10:25:00,0.0
,,,,,,,,,,,cx0620a-cx0398a,2024-09-03,No routes found for CNc1c(C#N)ccc(Cn2cnc3ccccc32)c1O.,NoSynthesisRoute,CHIKV_MacB-x0620_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0398_C_401_CHIKV_MacB-x0300+A+401+1,OWKLKRHPZVUBLO-UHFFFAOYSA-N,47.0,,,,CNc1c(C#N)ccc(Cn2cnc3ccccc32)c1O,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1749.0,,,,cx0620a,cx0398a,False,2024-09-03 17:49:00,0.0
,,,,,,,,,,,cx1372a-cx1379a,2024-09-03,No routes found for CCc1ccc(N)c2c(O)cccc12.,NoSynthesisRoute,CHIKV_MacB-x1372_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1379_A_305_CHIKV_MacB-x0300+A+401+1,HVOAJNGPZJWKMT-UHFFFAOYSA-N,28.0,,,,CCc1ccc(N)c2c(O)cccc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1739.0,,,,cx1372a,cx1379a,False,2024-09-03 17:39:00,0.0
,,,,,,,,,,,cx0692a-cx1278a,2024-09-04,No routes found for COCC(=O)N[C@@H]1CCCC[C@]12CNC[C@@H]2C(=O)OC.,NoSynthesisRoute,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1278_D_401_CHIKV_MacB-x0300+A+401+1,DZZBIAOVYFHMIS-JTNHKYCSSA-N,287.0,,,,COCC(=O)N[C@@H]1CCCC[C@]12CNC[C@@H]2C(=O)OC,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1009.0,,,,cx0692a,cx1278a,False,2024-09-04 10:09:00,0.0
,,,,,,,,,,,cx0692a-cx0864d,2024-09-04,No routes found for O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1.,NoSynthesisRoute,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0864_C_401_CHIKV_MacB-x0300+A+401+1,PPOABDMMRXXBHZ-MRXNPFEDSA-N,279.0,,,,O[C@@H]1Oc2cc(-c3ccn[nH]3)ccc2N1Nc1ccccc1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1005.0,,,,cx0692a,cx0864d,False,2024-09-04 10:05:00,0.0
,,,,,,,,,,,cx0824a-cx0406a,2024-09-03,No routes found for Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1.,NoSynthesisRoute,CHIKV_MacB-x0824_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0406_A_401_CHIKV_MacB-x0300+A+401+1,FAIKVXHYCBBUTG-XKIVJUNCSA-N,94.0,,,,Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1812.0,,,,cx0824a,cx0406a,False,2024-09-03 18:12:00,0.0
,,,,,,,,,,,cx0632a-cx1118a,2024-09-03,No routes found for CN[C@H](c1cnn(-c2ccccc2)c1)c1cccc(O)n1.,NoSynthesisRoute,CHIKV_MacB-x0632_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1118_A_304_CHIKV_MacB-x0300+A+401+1,VSMLKTUVJLIHFO-MRXNPFEDSA-N,88.0,,,,CN[C@H](c1cnn(-c2ccccc2)c1)c1cccc(O)n1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1809.0,,,,cx0632a,cx1118a,False,2024-09-03 18:09:00,0.0
,,,,,,,,,,,cx0316a-cx0632a,2024-09-04,Scaffold could not be successfully placed.,ScaffoldPlacementError,CHIKV_MacB-x0632_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,XZZIEIPBDBERLL-UHFFFAOYSA-N,224.0,,,,CCc1nc(Cn2cc(C)c(Cc3cnn(-c4ccccc4)c3)cc2=O)no1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,938.0,,,,cx0632a,cx0316a,False,2024-09-04 09:38:00,0.0
,,,,,,,,,,,CHIKVMac-DLS-DF003,2024-09-03,No attachment points found for reaction N-Boc_deprotection,ReactionError,CHIKV_MacB-x1406_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,PKGKYFTZAWPUOV-UHFFFAOYSA-N,11.0,,,,Nc1ccc(-c2nc(Cn3ccccc3=O)no2)cn1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx1454a_apo-desolv.pdb,1731.0,,,,cx1406a,cx0316a,False,2024-09-03 17:31:00,0.0
,,,,,,,,,,,CHIKVMac-DLS-DF003,2024-09-03,No attachment points found for reaction N-Boc_deprotection,ReactionError,CHIKV_MacB-x1406_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,PKGKYFTZAWPUOV-UHFFFAOYSA-N,11.0,,,,Nc1ccc(-c2nc(Cn3ccccc3=O)no2)cn1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx1454a_apo-desolv.pdb,1731.0,,,,cx1406a,cx0316a,False,2024-09-03 17:31:00,0.0
,,,,,,,,,,,cx1338a-cx0477a,2024-09-03,No atoms found involved in reaction Sp3-sp2_Suzuki_coupling in mol Nc1cc(Br)c2ccccc2n1 and CC1(C)OB(CCO)OC1(C)C,SMARTSError,CHIKV_MacB-x1338_B_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0477_A_401_CHIKV_MacB-x0300+A+401+1,JMOTWXFAFYAFBE-UHFFFAOYSA-N,39.0,,,,Nc1cc(CCO)c2ccccc2n1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1745.0,,,,cx1338a,cx0477a,False,2024-09-03 17:45:00,0.0
,,,,,,,,,,,cx1278a-cx0969a,2024-09-04,No routes found for COC(O)(O)c1c[nH]c2ccccc12.,NoSynthesisRoute,CHIKV_MacB-x1278_D_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_A_304_CHIKV_MacB-x0300+A+401+1,DLSKEJKONXTOHV-UHFFFAOYSA-N,107.0,,,,COC(O)(O)c1c[nH]c2ccccc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,839.0,,,,cx1278a,cx0969a,False,2024-09-04 08:39:00,0.0
,,,,,,,,,,,cx0289a-cx0969a,2024-09-04,Scaffold could not be successfully placed.,ScaffoldPlacementError,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_A_304_CHIKV_MacB-x0300+A+401+1,LNZBUKLTSPJBQX-RDBSUJKOSA-N,253.0,,,,N[C@H]1C=C[C@@H]2C1=CCCO[C@H]2CNc1ccccn1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,952.0,,,,cx0289a,cx0969a,False,2024-09-04 09:52:00,0.0
OCCCl,NNCc1cccnc1,Nucleophilic_substitution_with_amine,,,,,,,,,cx1116a-cx0477a,2024-09-03,,,CHIKV_MacB-x1116_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0477_A_401_CHIKV_MacB-x0300+A+401+1,SEEGEKKHDHBILT-UHFFFAOYSA-N,95.0,10000.0,1478.0,qTx9AC,OCCNNCc1cccnc1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1914.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/SEEGEKKHDHBILT-UHFFFAOYSA-N/SEEGEKKHDHBILT-UHFFFAOYSA-N_qTx9AC_to_hippo.pkl.gz,42504.0,22360.0,cx1116a,cx0477a,True,2024-09-03 19:14:00,1.0
,,,,,,,,,,,CHIKVMac-DLS-JA006,2024-09-03,No routes found for O=S1(=O)CCc2nc(-c3nccs3)nn2C1.,NoSynthesisRoute,CHIKV_MacB-x1182_A_305_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0281_C_304_CHIKV_MacB-x0300+A+401+1,KEEJZOXJZSAFNX-UHFFFAOYSA-N,5.0,,,,O=S1(=O)CCc2nc(-c3nccs3)nn2C1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0281a_apo-desolv.pdb,1711.0,,,,cx1182a,cx0281a,False,2024-09-03 17:11:00,0.0
O=c1ccnc[nH]1,O=S1(=O)CCC(CCl)C1,Nucleophilic_substitution_with_amine,,,,,,,,,CHIKVMac-DLS-JA005,2024-09-03,,,CHIKV_MacB-x0314_B_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1182_A_305_CHIKV_MacB-x0300+A+401+1,UGYMLSSIEIESGU-MRVPVSSYSA-N,4.0,3340.0,1588.0,tA8T94,O=c1ccncn1C[C@H]1CCS(=O)(=O)C1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1749.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/UGYMLSSIEIESGU-MRVPVSSYSA-N/UGYMLSSIEIESGU-MRVPVSSYSA-N_tA8T94_to_hippo.pkl.gz,3340.0,1653.0,cx0314a,cx1182a,True,2024-09-03 17:49:00,1.0
O=C(c1ccco1)N1CCNCC1,CCc1nc(N)no1,Formation_of_urea_from_two_amines,,,,,,,,,cx0543a-cx0316a,2024-09-04,,,CHIKV_MacB-x0543_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,XNVDJLXZBJHKFV-UHFFFAOYSA-N,146.0,402.0,46.0,iKZCKK,CCc1nc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)no1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,941.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/XNVDJLXZBJHKFV-UHFFFAOYSA-N/XNVDJLXZBJHKFV-UHFFFAOYSA-N_iKZCKK_to_hippo.pkl.gz,404.0,251.0,cx0543a,cx0316a,True,2024-09-04 09:41:00,1.0
,,,,,,,,,,,cx0721a-cx0692a,2024-09-04,No routes found for COCC(=O)NC[C@H]1CCCC2=C1NCS2.,NoSynthesisRoute,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0721_B_401_CHIKV_MacB-x0300+A+401+1,VMDOHGKJUXIANC-MRVPVSSYSA-N,293.0,,,,COCC(=O)NC[C@H]1CCCC2=C1NCS2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1012.0,,,,cx0692a,cx0721a,False,2024-09-04 10:12:00,0.0
,,,,,,,,,,,cx0522a-cx0300a,2024-09-03,Scaffold could not be successfully placed.,ScaffoldPlacementError,CHIKV_MacB-x0522_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0300_A_401_CHIKV_MacB-x0300+A+401+1,XDNZJEFLXPXFSR-CMTCILLRSA-N,53.0,,,,CCOc1ncccc1C(=O)N1/C=C(/c2cscn2)N[C@H]2CNC(=O)C[C@@H]2OC1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1752.0,,,,cx0522a,cx0300a,False,2024-09-03 17:52:00,0.0
,,,,,,,,,,,cx1194a-cx1298a,2024-09-04,No routes found for CC1=NC(=O)C(C(C)C)=C1N(C)N(C)C.,NoSynthesisRoute,CHIKV_MacB-x1298_B_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1194_A_305_CHIKV_MacB-x0300+A+401+1,OTXHULFVAUIJDZ-UHFFFAOYSA-N,121.0,,,,CC1=NC(=O)C(C(C)C)=C1N(C)N(C)C,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,846.0,,,,cx1298a,cx1194a,False,2024-09-04 08:46:00,0.0
,,,,,,,,,,,cx1268a-cx0477a,2024-09-04,No routes found for Nc1nc(S(N)(=O)=O)n2c1cnn2CCO.,NoSynthesisRoute,CHIKV_MacB-x0477_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1268_B_304_CHIKV_MacB-x0300+A+401+1,QEYCHRIJAKTHEP-UHFFFAOYSA-N,239.0,,,,Nc1nc(S(N)(=O)=O)n2c1cnn2CCO,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,945.0,,,,cx0477a,cx1268a,False,2024-09-04 09:45:00,0.0
,,,,,,,,,,,cx0935a-cx1402f,2024-09-04,No routes found for O=C(Nc1ccc(O)cc1)c1ccc2ccnc-2n1O.,NoSynthesisRoute,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1402_C_309_CHIKV_MacB-x0300+A+401+1,HMSVYRBFIWFWJE-UHFFFAOYSA-N,339.0,,,,O=C(Nc1ccc(O)cc1)c1ccc2ccnc-2n1O,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1035.0,,,,cx0935a,cx1402f,False,2024-09-04 10:35:00,0.0
,,,,,,,,,,,cx1135a-cx0632a,2024-09-04,No routes found for CN[C@H](c1cnn(-c2ccccc2)c1)[C@H]1CCC(=O)NN1.,NoSynthesisRoute,CHIKV_MacB-x0632_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1135_A_304_CHIKV_MacB-x0300+A+401+1,KWJZRRUYKMBOSC-UKRRQHHQSA-N,176.0,,,,CN[C@H](c1cnn(-c2ccccc2)c1)[C@H]1CCC(=O)NN1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,913.0,,,,cx0632a,cx1135a,False,2024-09-04 09:13:00,0.0
,,,,,,,,,,,cx1417a-cx1268a,2024-09-04,No attachment points found for reaction N-Bn_deprotection,ReactionError,CHIKV_MacB-x1417_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1268_B_304_CHIKV_MacB-x0300+A+401+1,XWFSLLRUMDZKFF-UHFFFAOYSA-N,211.0,,,,CCOC(=O)c1c(C(N)=O)n[nH]c1C,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,931.0,,,,cx1417a,cx1268a,False,2024-09-04 09:31:00,0.0
O=C1CCC(Cl)NN1,CN,Nucleophilic_substitution_with_amine,CNC1CCC(=O)NN1,CCOc1ncccc1C(=O)O,Amidation,,,,,,cx0522a-cx1135a,2024-09-03,,,CHIKV_MacB-x0522_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1135_A_304_CHIKV_MacB-x0300+A+401+1,CTECJTBKOFPTMY-JTQLQIEISA-N,51.0,10000.0,2585.0,e5WDiF,CCOc1ncccc1C(=O)N(C)[C@H]1CCC(=O)NN1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1943.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/CTECJTBKOFPTMY-JTQLQIEISA-N/CTECJTBKOFPTMY-JTQLQIEISA-N_e5WDiF_to_hippo.pkl.gz,17420.0,7800.0,cx0522a,cx1135a,True,2024-09-03 19:43:00,2.0
,,,,,,,,,,,cx1417a-cx1410a,2024-09-04,No routes found for CCOc1c(O)ccc2nn(N)c(C)c12.,NoSynthesisRoute,CHIKV_MacB-x1410_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1417_A_304_CHIKV_MacB-x0300+A+401+1,CYHOPNZSVSYBQM-UHFFFAOYSA-N,205.0,,,,CCOc1c(O)ccc2nn(N)c(C)c12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,928.0,,,,cx1410a,cx1417a,False,2024-09-04 09:28:00,0.0
,,,,,,,,,,,cx0969d-cx1440f,2024-09-04,No routes found for N[C@@H]1COc2ccc(CO)cc21.,NoSynthesisRoute,CHIKV_MacB-x1440_D_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_C_501_CHIKV_MacB-x0300+A+401+1,LNAVTMNVGRFOOR-MRVPVSSYSA-N,348.0,,,,N[C@@H]1COc2ccc(CO)cc21,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1040.0,,,,cx1440f,cx0969d,False,2024-09-04 10:40:00,0.0
O=Cc1nn(CC(=O)O)c2ccccc12,Nc1ccc(O)cc1,Reductive_amination,O=C(O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,CNC,Amidation,,,,,,cx0312a-cx0935a,2024-09-04,,,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0312_A_304_CHIKV_MacB-x0300+A+401+1,WLFMTZKZYACXSW-UHFFFAOYSA-N,264.0,10000.0,9723.0,tCavCn,CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,2001.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/WLFMTZKZYACXSW-UHFFFAOYSA-N/WLFMTZKZYACXSW-UHFFFAOYSA-N_tCavCn_to_hippo.pkl.gz,12400.0,10300.0,cx0935a,cx0312a,True,2024-09-04 20:01:00,2.0
