smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
Cc1nnc(NC(=O)C2(c3ccc(Cl)cc3)CCOCC2)n1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1657795507,<rdkit.Chem.rdchem.Mol object at 0x17591e190>,horton_fegrow_prime_elab_Z1657795507
NC[C@]12C[C@](NC(=O)C3(c4ccccc4Cl)CCOCC3)(C1)C2,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2828446121,<rdkit.Chem.rdchem.Mol object at 0x17591e200>,horton_fegrow_prime_elab_Z2828446121
Cc1nc(NC(=O)C2(c3cccc(Br)c3)CCOCC2)nn1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2229682866,<rdkit.Chem.rdchem.Mol object at 0x17591e270>,horton_fegrow_prime_elab_Z2229682866
O=C(N[C@H]1C[C@H](CO)C1)C1(c2ccc(Cl)cc2Cl)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2963653155,<rdkit.Chem.rdchem.Mol object at 0x17591e6d0>,horton_fegrow_prime_elab_Z2963653155
Cn1nc(NC(=O)C2(c3cccc(F)c3)CCOCC2)cc1F,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4185544845,<rdkit.Chem.rdchem.Mol object at 0x17591e580>,horton_fegrow_prime_elab_Z4185544845
NC(=O)[C@H]1C[C@H](NC(=O)C2(c3ccccc3Cl)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2718717537,<rdkit.Chem.rdchem.Mol object at 0x17591e350>,horton_fegrow_prime_elab_Z2718717537
CC(C)[C@H](N)CCNC(=O)C1(c2cccc(Br)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2607290549,<rdkit.Chem.rdchem.Mol object at 0x17591e430>,horton_fegrow_prime_elab_Z2607290549
NC1(CCCNC(=O)C2(c3cccc(Cl)c3)CCOCC2)CC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4030018152,<rdkit.Chem.rdchem.Mol object at 0x17591bc80>,horton_fegrow_prime_elab_Z4030018152
NC[C@]12C[C@](NC(=O)C3(c4cccc(Br)c4)CCOCC3)(C1)C2,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2828448208,<rdkit.Chem.rdchem.Mol object at 0x17591bc10>,horton_fegrow_prime_elab_Z2828448208
CCC[C@H](CC)NC(=O)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1533570396,<rdkit.Chem.rdchem.Mol object at 0x17591bba0>,horton_fegrow_prime_elab_Z1533570396
O=C(NNC(=O)C1(c2ccc(F)cc2)CCOCC1)NC1CC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z853755938,<rdkit.Chem.rdchem.Mol object at 0x17591bac0>,horton_fegrow_prime_elab_Z853755938
C#C[C@@H](NC(=O)C1(c2ccc(Cl)cc2Cl)CCOCC1)C(C)C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1987926668,<rdkit.Chem.rdchem.Mol object at 0x17591ba50>,horton_fegrow_prime_elab_Z1987926668
O=C(Nc1cnccc1O)C1(c2ccc(Br)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1128926832,<rdkit.Chem.rdchem.Mol object at 0x17591b9e0>,horton_fegrow_prime_elab_Z1128926832
CS(=O)(=O)CCCNC(=O)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z812699794,<rdkit.Chem.rdchem.Mol object at 0x17591b970>,horton_fegrow_prime_elab_Z812699794
CN(CCS(N)(=O)=O)C(=O)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2804795083,<rdkit.Chem.rdchem.Mol object at 0x17591b900>,horton_fegrow_prime_elab_Z2804795083
N[C@@H]1CCC[C@H](NC(=O)C2(c3cccc(Br)c3)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3139179718,<rdkit.Chem.rdchem.Mol object at 0x17591b890>,horton_fegrow_prime_elab_Z3139179718
O=C(Nc1ccc(Cl)nn1)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1190490525,<rdkit.Chem.rdchem.Mol object at 0x17591b820>,horton_fegrow_prime_elab_Z1190490525
O=C(NNC(=O)C1(c2ccc(Cl)cc2)CCOCC1)C1CC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z816222520,<rdkit.Chem.rdchem.Mol object at 0x17591b740>,horton_fegrow_prime_elab_Z816222520
O=C(Nc1cncnc1)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1698992975,<rdkit.Chem.rdchem.Mol object at 0x17591b6d0>,horton_fegrow_prime_elab_Z1698992975
CCCC(=O)NNC(=O)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3054662529,<rdkit.Chem.rdchem.Mol object at 0x17591b660>,horton_fegrow_prime_elab_Z3054662529
Cc1ccc(C2(C(=O)N[C@@H]3CCCC[C@@H]3O)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2803920189,<rdkit.Chem.rdchem.Mol object at 0x17591b5f0>,horton_fegrow_prime_elab_Z2803920189
C#C[C@H]1C[C@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3596685237,<rdkit.Chem.rdchem.Mol object at 0x17591b580>,horton_fegrow_prime_elab_Z3596685237
CC(C)c1noc(NC(=O)C2(c3ccccc3)CCOCC2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1229824983,<rdkit.Chem.rdchem.Mol object at 0x17591b510>,horton_fegrow_prime_elab_Z1229824983
CCn1nnc(NC(=O)C2(c3ccc(Br)cc3)CCOCC2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2999352767,<rdkit.Chem.rdchem.Mol object at 0x17591b430>,horton_fegrow_prime_elab_Z2999352767
O=C(Nc1n[nH]c(C2CC2)n1)C1(c2ccccc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3588667999,<rdkit.Chem.rdchem.Mol object at 0x17591b3c0>,horton_fegrow_prime_elab_Z3588667999
Cc1ccc(C2(C(=O)N[C@@H]3CCCC[C@@H]3O)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3712613830,<rdkit.Chem.rdchem.Mol object at 0x17591b350>,horton_fegrow_prime_elab_Z3712613830
Cc1cc(NC(=O)C2(c3ccc(F)cc3F)CCOCC2)no1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1536566815,<rdkit.Chem.rdchem.Mol object at 0x17591b2e0>,horton_fegrow_prime_elab_Z1536566815
O=C(Nc1ccc(Br)nn1)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4331006164,<rdkit.Chem.rdchem.Mol object at 0x17591b270>,horton_fegrow_prime_elab_Z4331006164
Cc1ccc(C2(C(=O)Nc3nnc(C)n3C)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1657819744,<rdkit.Chem.rdchem.Mol object at 0x17591b200>,horton_fegrow_prime_elab_Z1657819744
CS[C@@H]1CC[C@@H](NC(=O)C2(c3cccc(Cl)c3)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1274835885,<rdkit.Chem.rdchem.Mol object at 0x17591b190>,horton_fegrow_prime_elab_Z1274835885
Cc1ccc(C2(C(=O)N[C@@H]3C=CCCCC3)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3638418088,<rdkit.Chem.rdchem.Mol object at 0x17591b120>,horton_fegrow_prime_elab_Z3638418088
Cn1ccc(NC(=O)C2(c3cccc(Cl)c3)CCOCC2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z804139012,<rdkit.Chem.rdchem.Mol object at 0x17591b040>,horton_fegrow_prime_elab_Z804139012
CC(C)C(=O)NNC(=O)C1(c2ccc(Br)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z997958766,<rdkit.Chem.rdchem.Mol object at 0x17591be40>,horton_fegrow_prime_elab_Z997958766
CC#CCCCCNC(=O)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4883983175,<rdkit.Chem.rdchem.Mol object at 0x17591beb0>,horton_fegrow_prime_elab_Z4883983175
O=C1CCCCN1NC(=O)C1(c2ccc(Cl)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1030476188,<rdkit.Chem.rdchem.Mol object at 0x17591bf20>,horton_fegrow_prime_elab_Z1030476188
N[C@H]1C[C@@H](CCNC(=O)C2(c3ccc(Cl)cc3)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3808030265,<rdkit.Chem.rdchem.Mol object at 0x17591bf90>,horton_fegrow_prime_elab_Z3808030265
