smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
O=C(c1ccnc2cc(Cl)ccc12)N1CC=CC1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4066545899,<rdkit.Chem.rdchem.Mol object at 0x1754bcac0>,janke_silvr_Z4066545899
Cc1ccc(C=C2C(=O)c3ccccc3C2=O)cc1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z44301044,<rdkit.Chem.rdchem.Mol object at 0x1754bcba0>,janke_silvr_Z44301044
Oc1ccc(-c2ccnn2-c2ccccc2)cc1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_002803571303,<rdkit.Chem.rdchem.Mol object at 0x1754bccf0>,janke_silvr_PV_002803571303
O=C(Nn1c(=O)[nH]c2ccccc21)c1cccs1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_006841972111,<rdkit.Chem.rdchem.Mol object at 0x1754bce40>,janke_silvr_PV_006841972111
Cc1cc(-c2cncc3ccccc23)cs1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z2204868599,<rdkit.Chem.rdchem.Mol object at 0x1754bcf20>,janke_silvr_Z2204868599
O=c1c2ccccc2nc(S)n1-c1cccc(Cl)c1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z55663941,<rdkit.Chem.rdchem.Mol object at 0x1754bd0b0>,janke_silvr_Z55663941
c1ccc2nc(-c3ccnnc3)nnc2c1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_002924022066,<rdkit.Chem.rdchem.Mol object at 0x1754bd200>,janke_silvr_PV_002924022066
Cc1ccc(C(N)=O)cc1-c1cccnc1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z5431126045,<rdkit.Chem.rdchem.Mol object at 0x1754bd2e0>,janke_silvr_Z5431126045
Brc1ccccc1-c1nc(-c2nnc[nH]2)no1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z1224383668,<rdkit.Chem.rdchem.Mol object at 0x1754ba190>,janke_silvr_Z1224383668
Cc1cc(N)cc(-c2cnc3ccccc3c2)c1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z3484509541,<rdkit.Chem.rdchem.Mol object at 0x1754b9200>,janke_silvr_Z3484509541
