smiles,submitter_name,ref_pdb,hit_names,ROMol,ID,name
N#CCC(=O)Nc1cnn(C2CCCCC2)c1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123a50>,Z3613598907,steph_fragnetv2_Z3613598907
Cn1ncc(CN)c1NC(=O)CC#N,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123ac0>,PV-003041602301,steph_fragnetv2_PV-003041602301
CCC(CC(=O)Nc1[nH]nc(C(=O)OC)c1Cl)C(C)(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123c10>,Z3582351195,steph_fragnetv2_Z3582351195
Cn1nc(Br)cc1NC(=O)C(C)(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123cf0>,Z2227508092,steph_fragnetv2_Z2227508092
Cc1cc(NC(=O)C(C)(C)C#N)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123d60>,"Z736691796,CHEMSPACE-BB","steph_fragnetv2_Z736691796,CHEMSPACE-BB"
CC(CC(=O)Nc1ccnn1C)C(C)(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123dd0>,Z1158011541,steph_fragnetv2_Z1158011541
Cn1ncc(C#N)c1NC(=O)CCC(F)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123e40>,Z3236857447,steph_fragnetv2_Z3236857447
CC(=O)Nc1[nH]nc(C(=O)NC(C)(C)C(C)C)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123eb0>,Z4318970994,steph_fragnetv2_Z4318970994
CCn1ncc(C)c1NC(=O)C(F)(F)C(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176123f20>,Z2645579547,steph_fragnetv2_Z2645579547
CC=C(C)C(=O)Nc1c(C)c(C(F)(F)F)nn1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453040>,Z1689696751,steph_fragnetv2_Z1689696751
CCn1nc(C(C)(C)C)cc1NC(=O)C=C(C)Cl,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764530b0>,Z3608269095,steph_fragnetv2_Z3608269095
CC(=O)Nc1ccc(C(=O)NC(C)CNC(=O)c2cccnc2)nc1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453120>,"PV-001407017877,ENAMINE","steph_fragnetv2_PV-001407017877,ENAMINE"
CCCCC(C)C(=O)Nc1c(C)c(C(F)(F)F)nn1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453190>,Z2000289922,steph_fragnetv2_Z2000289922
Cn1nc(-c2ccsc2)cc1NC(=O)CC(C)(C)C(C)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453200>,Z3353577033,steph_fragnetv2_Z3353577033
CCCC(C(=O)Nc1n[nH]c(C(=O)O)c1C1CC1)C(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453270>,Z3510170264,steph_fragnetv2_Z3510170264
CCn1nc(C)cc1NC(C)=O,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764532e0>,"CSMB00010507979,MOLPORT","steph_fragnetv2_CSMB00010507979,MOLPORT"
Cc1cc(NC(=O)C(C(F)(F)F)C(F)(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453350>,Z1873340206,steph_fragnetv2_Z1873340206
Cc1nn(C)c(NC(=O)CCSCC(C)C)c1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764533c0>,Z1144427904,steph_fragnetv2_Z1144427904
Cn1nc(C2CCC2)cc1NC(=O)CC#N,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764534a0>,Z1688566804,steph_fragnetv2_Z1688566804
COc1ccccc1-c1n[nH]c(NC(=O)CC(C)(F)F)c1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453510>,Z2965259653,steph_fragnetv2_Z2965259653
CCn1ncc(C)c1NC(=O)CSC,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453660>,Z2645583659,steph_fragnetv2_Z2645583659
N#CCC(=O)Nc1cnn(CC2CC2)c1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764536d0>,Z1726613457,steph_fragnetv2_Z1726613457
CCc1cnn(C)c1NC(=O)C(C)=C1CC1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453740>,Z3626609752,steph_fragnetv2_Z3626609752
Cc1cc(NC(=O)CCC(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453890>,Z1950192962,steph_fragnetv2_Z1950192962
N#CCC(=O)Nc1cc(-c2ccccc2)n[nH]1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453900>,"PV-002333312193,MOLPORT","steph_fragnetv2_PV-002333312193,MOLPORT"
CCc1cc(NC(=O)C(C)(CC)CCC(C)C)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453970>,PV-002731167591,steph_fragnetv2_PV-002731167591
CCS(=O)(=O)CCn1cc(NC(=O)CC#N)cn1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453ac0>,Z1726332759,steph_fragnetv2_Z1726332759
CCCC(=O)Nc1c(-c2ccccc2)c(C)nn1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453b30>,Z1157963730,steph_fragnetv2_Z1157963730
Cc1cc(NC(=O)CC(F)(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453c80>,Z393051624,steph_fragnetv2_Z393051624
CC(=O)Nc1[nH]nc(C(=O)NCC(C)C(=O)O)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453cf0>,PV-003571548182,steph_fragnetv2_PV-003571548182
CC(C)c1cc(NC(=O)CCCC#N)n(C(C)C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453dd0>,Z2186781749,steph_fragnetv2_Z2186781749
CCOC(=O)c1cc(NC(=O)C(Br)=C(C)C)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453e40>,Z4101294730,steph_fragnetv2_Z4101294730
CCc1cnn(C)c1NC(=O)C=CC(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453eb0>,Z3626597953,steph_fragnetv2_Z3626597953
CCc1cnn(C)c1NC(=O)CC(F)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453f20>,Z3626604255,steph_fragnetv2_Z3626604255
CCc1c(NC(=O)CC#N)cnn1CC(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176453f90>,Z1727341322,steph_fragnetv2_Z1727341322
CCn1ncc(C)c1NC(=O)C(C)CC(C)(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764930b0>,Z2645578091,steph_fragnetv2_Z2645578091
Cn1cc(NC(=O)CC#N)c(C(F)F)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176493200>,Z3585809468,steph_fragnetv2_Z3585809468
CSc1cnn(C)c1NC(=O)C=C(C)Cl,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176493270>,Z4220841119,steph_fragnetv2_Z4220841119
CCc1cc(NC(=O)CC(F)(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764933c0>,Z1217419270,steph_fragnetv2_Z1217419270
Cn1nc(C(F)(F)F)cc1NC(=O)CC#N,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176493430>,Z4048800382,steph_fragnetv2_Z4048800382
COC(=O)c1cc(NC(=O)C(C)C(F)(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176493510>,Z3087212923,steph_fragnetv2_Z3087212923
CCOC(=O)c1cc(NC(=O)C(C)(C)C(C)(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176493660>,Z3609361580,steph_fragnetv2_Z3609361580
CC(C)=CC(=O)Nc1c(C)c(C)nn1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764936d0>,Z1144426812,steph_fragnetv2_Z1144426812
CCc1cc(NC(=O)CSC(F)F)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176493740>,Z2269136516,steph_fragnetv2_Z2269136516
CC=C(CC)C(=O)Nc1c(C)c(C)nn1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764937b0>,Z1832661270,steph_fragnetv2_Z1832661270
