smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
CC(=O)NC(CO)c1ccccc1,Matteo Ferla,x0554_0A,x0566_0A,Z1574513953,<rdkit.Chem.rdchem.Mol object at 0x175457c10>,matteo_ferla_fragmen_clust_Z1574513953
CC(=O)Nc1cc(C)ccc1I,Matteo Ferla,x0554_0A,"x0554_0A,x0310_0A",PV_007176233695,<rdkit.Chem.rdchem.Mol object at 0x175457c80>,matteo_ferla_fragmen_clust_PV_007176233695
CC(=O)Nc1c(C)c(C)cc(C)c1C,Matteo Ferla,x0554_0A,"x0554_0A,x0310_0A",Z3245077170,<rdkit.Chem.rdchem.Mol object at 0x175457cf0>,matteo_ferla_fragmen_clust_Z3245077170
CC1CCC(c2ccccc2)N(C(N)=O)C1,Matteo Ferla,x0554_0A,x0566_0A,Z2066182998,<rdkit.Chem.rdchem.Mol object at 0x175457d60>,matteo_ferla_fragmen_clust_Z2066182998
CC(=O)Nc1c(C)cccc1C,Matteo Ferla,x0554_0A,"x0554_0A,x0310_0A",PV_002318985932,<rdkit.Chem.rdchem.Mol object at 0x175457dd0>,matteo_ferla_fragmen_clust_PV_002318985932
C=C(C)c1cccc2cc[nH]c12,Matteo Ferla,x0554_0A,"x0554_0A,x0554_0A",PV_002999033004,<rdkit.Chem.rdchem.Mol object at 0x175457e40>,matteo_ferla_fragmen_clust_PV_002999033004
Cc1nn(C)c(C)c1C1CCCN1CC(=O)[C@@H](C)N,Matteo Ferla,x0554_0A,x0310_0A,Z4221679624,<rdkit.Chem.rdchem.Mol object at 0x175457eb0>,matteo_ferla_fragmen_clust_Z4221679624
C[C@H](N)C(=O)NC1(c2ccccc2)CCCOC1,Matteo Ferla,x0554_0A,x0554_0A,Z4079941991,<rdkit.Chem.rdchem.Mol object at 0x175457f90>,matteo_ferla_fragmen_clust_Z4079941991
CCC(NC1CC1)c1cccc2cc[nH]c12,Matteo Ferla,x0554_0A,x0566_0A,Z4275810263,<rdkit.Chem.rdchem.Mol object at 0x175465040>,matteo_ferla_fragmen_clust_Z4275810263
COC(=O)CCc1cc(C)cnc1NCC1=CCCC1,Matteo Ferla,x0554_0A,x0416_0A,PV_006027861202,<rdkit.Chem.rdchem.Mol object at 0x1754650b0>,matteo_ferla_fragmen_clust_PV_006027861202
CCC(NC(=O)C(C)N)c1ccccc1,Matteo Ferla,x0554_0A,x0554_0A,Z2434477552,<rdkit.Chem.rdchem.Mol object at 0x175465120>,matteo_ferla_fragmen_clust_Z2434477552
CNC(=O)c1cc(C)cc2c1OCC2,Matteo Ferla,x0554_0A,"x0451_0A,x0554_0A,x0310_0A",Z3524729102,<rdkit.Chem.rdchem.Mol object at 0x175465190>,matteo_ferla_fragmen_clust_Z3524729102
CC(=O)Nc1c(O)ccc2ccncc12,Matteo Ferla,x0554_0A,"x0554_0A,x0451_0A",PV_006891187235,<rdkit.Chem.rdchem.Mol object at 0x175465200>,matteo_ferla_fragmen_clust_PV_006891187235
Cc1cccc(-c2cccc3cc[nH]c23)c1CO,Matteo Ferla,x0554_0A,x0566_0A,PV_002762975815,<rdkit.Chem.rdchem.Mol object at 0x175465270>,matteo_ferla_fragmen_clust_PV_002762975815
NC(=O)c1cc2ccc(O)cc2[nH]1,Matteo Ferla,x0554_0A,"x0554_0A,x0416_0A",Z4919339511,<rdkit.Chem.rdchem.Mol object at 0x1754652e0>,matteo_ferla_fragmen_clust_Z4919339511
CNS(=O)(=O)c1c[nH]c2ccccc12,Matteo Ferla,x0554_0A,"x0451_0A,x0566_0A",Z3242563589,<rdkit.Chem.rdchem.Mol object at 0x1754653c0>,matteo_ferla_fragmen_clust_Z3242563589
Cc1nc(C)c(CCNC(=O)[C@H](C)N)s1,Matteo Ferla,x0554_0A,x0556_0A,Z2464967801,<rdkit.Chem.rdchem.Mol object at 0x175465430>,matteo_ferla_fragmen_clust_Z2464967801
CC(C)NC(=O)C(N)c1ccccc1,Matteo Ferla,x0554_0A,x0566_0A,Z927395506,<rdkit.Chem.rdchem.Mol object at 0x1754654a0>,matteo_ferla_fragmen_clust_Z927395506
CC(C)NC(=O)c1cccc2ccoc12,Matteo Ferla,x0554_0A,x0566_0A,Z5467076910,<rdkit.Chem.rdchem.Mol object at 0x175465510>,matteo_ferla_fragmen_clust_Z5467076910
COC(=O)c1sc(C)cc1NC(C)=O,Matteo Ferla,x0554_0A,"x0451_0A,x0416_0A,x0416_0A",Z2674052266,<rdkit.Chem.rdchem.Mol object at 0x175465580>,matteo_ferla_fragmen_clust_Z2674052266
Cc1nn(C)c2c1N(C(=O)CCN)CCO2,Matteo Ferla,x0554_0A,"x0310_0A,x0566_0A",Z4216637841,<rdkit.Chem.rdchem.Mol object at 0x1754655f0>,matteo_ferla_fragmen_clust_Z4216637841
CCNC(=O)c1cc(C)cc2c[nH]nc12,Matteo Ferla,x0554_0A,"x0566_0A,x0451_0A",Z1022803852,<rdkit.Chem.rdchem.Mol object at 0x175465660>,matteo_ferla_fragmen_clust_Z1022803852
CC(=O)Nc1cccc2[nH]c(=O)ccc12,Matteo Ferla,x0554_0A,"x0554_0A,x0451_0A",PV_002173945509,<rdkit.Chem.rdchem.Mol object at 0x1754656d0>,matteo_ferla_fragmen_clust_PV_002173945509
CC(NCc1cn(C)c2ccccc12)C1CC1,Matteo Ferla,x0554_0A,x0451_0A,Z3505465193,<rdkit.Chem.rdchem.Mol object at 0x175465740>,matteo_ferla_fragmen_clust_Z3505465193
CNC(=O)c1ccc(F)c2ccsc12,Matteo Ferla,x0554_0A,"x0451_0A,x0554_0A",Z5288630820,<rdkit.Chem.rdchem.Mol object at 0x1754657b0>,matteo_ferla_fragmen_clust_Z5288630820
NC(=O)c1[nH]c2ccccc2c1Cl,Matteo Ferla,x0554_0A,"x0554_0A,x0416_0A",Z458902276,<rdkit.Chem.rdchem.Mol object at 0x175465890>,matteo_ferla_fragmen_clust_Z458902276
Cc1cc(C)cc(N(C)C(=O)CC#N)c1,Matteo Ferla,x0554_0A,"x0566_0A,x0310_0A",Z1688526979,<rdkit.Chem.rdchem.Mol object at 0x175465900>,matteo_ferla_fragmen_clust_Z1688526979
