smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
CCCc1nnc(S)n1CC(=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_006899426194,<rdkit.Chem.rdchem.Mol object at 0x1754f1430>,horton_fegrow_quin_elab_PV_006899426194
Cc1nc2c([nH]1)CCC[C@H]2C(=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z4350656812,<rdkit.Chem.rdchem.Mol object at 0x1754f13c0>,horton_fegrow_quin_elab_Z4350656812
O=C(Cn1cc([C@@H]2CCOC2)cn1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z4686686307,<rdkit.Chem.rdchem.Mol object at 0x1754f1350>,horton_fegrow_quin_elab_Z4686686307
O=C(CCS(=O)(=O)C1CCCC1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3091962858,<rdkit.Chem.rdchem.Mol object at 0x1754f12e0>,horton_fegrow_quin_elab_Z3091962858
O=C(Cn1nnc(C2CC2)n1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z4386726361,<rdkit.Chem.rdchem.Mol object at 0x1754f1270>,horton_fegrow_quin_elab_Z4386726361
O=C(Cc1cc(C(F)(F)F)n[nH]1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_006887320932,<rdkit.Chem.rdchem.Mol object at 0x1754f1200>,horton_fegrow_quin_elab_PV_006887320932
O=C(Nc1cccc2nc(Cl)ccc12)C1(c2nn[nH]n2)CC=CC1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_006996969955,<rdkit.Chem.rdchem.Mol object at 0x1754f1190>,horton_fegrow_quin_elab_PV_006996969955
O=C(C[C@@H]1Cn2ccnc2NC1=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_006924576461,<rdkit.Chem.rdchem.Mol object at 0x1754f1120>,horton_fegrow_quin_elab_PV_006924576461
O=C(Cn1cc(C2CC2)nn1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3091962725,<rdkit.Chem.rdchem.Mol object at 0x1754f10b0>,horton_fegrow_quin_elab_Z3091962725
CS(=O)(=O)c1cccc(OCC(=O)Nc2cccc3nc(Cl)ccc23)c1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002323793229,<rdkit.Chem.rdchem.Mol object at 0x1754f1040>,horton_fegrow_quin_elab_PV_002323793229
